review_id;author_title;author_id;author_image;review_text;review_rating;review_datetime_utc
ChZDSUhNMG9nS0VJQ0FnSURiNEtxUmVREAE;BILAL AHMAD;113341786614146874308;https://lh3.googleusercontent.com/a-/ALV-UjUxaauRTBzHte1S4X-R2_V_okR1kKkET6qod0wSiWiZ6hLyUYIa=s120-c-rp-mo-ba5-br100;one of the best wings in islamabad very good taste and tender good ambiance burger was also good with mayo sauce and cheese in it fries was average best view and perfect taste;5;08/01/2024 01:01:46
ChdDSUhNMG9nS0VJQ0FnSUNUeWJ2YnZnRRAB;Dr Uzair Zahir Shah;117587014882380420986;https://lh3.googleusercontent.com/a-/ALV-UjX1UPMK6ogH8gu_Fy7hqp9-xKhBYqGYet89sJiYZAW51hFRH8i6=s120-c-rp-mo-ba6-br100;the first thing when you notice when you enter is the place has a strange sitting sequence its quite spacious but mis managed in spacing the music is loud and unbearable server rashid was a nice guy rest wings were just ok zinger was good;3;05/16/2024 10:49:55
ChdDSUhNMG9nS0VJQ0FnSURGeHJuV3FnRRAB;Shahzaib Akhter;100669160263603005392;https://lh3.googleusercontent.com/a-/ALV-UjWXeWy49cAC7LegjfrtBcHqfXMMclzCRYoF2D99R8LIav0cCgExvA=s120-c-rp-mo-ba4-br100;despite multiple visits the staff at the counter consistently struggles with audibility and explanations. while the chicken quality has been inconsistent in the past this time it was somewhat tender which was a positive change. however the usual highlight the crunch burger fell short of expectations this time tasting average rather than its usual deliciousness.;3;04/05/2024 06:43:06
ChZDSUhNMG9nS0VJQ0FnSUREcEtTX2JnEAE;Shah Zaib Khan;108106088441668181556;https://lh3.googleusercontent.com/a-/ALV-UjXitYCv_JPgqKq1NhqTNV3GhZg4yNVVDHSEFMYFIOHpwZa9j4W32A=s120-c-rp-mo-ba5-br100;our recent dinner experience at kfc was nothing short of fantastic! the zinger burger was perfectly crispy and packed with flavor the wings were incredibly juicy and the chips were wonderfully seasoned. the ambiance was lively and the staff were friendly and efficient. kfc never fails to deliver on quality and taste. cant wait to go back for more!;4;04/05/2024 19:22:08
ChZDSUhNMG9nS0VJQ0FnSURaLXFYdURnEAE;Chauhdry Muhammad Talha Arrain;101764165500825480096;https://lh3.googleusercontent.com/a-/ALV-UjUUwgXwDyx5--XZC-ZTdixci57Syq0Ys1cMwcKiLxDNBq-13kB7=s120-c-rp-mo-ba6-br100;this place has the same taste of kfc as any other branch r outlet of kfc has. but this place is so much crowded with extremely slow staff as well as dirty tables. it was completely mismanaged people were standing and the seating arrangement was just awful. you literally have to wait for at least 30 minutes to be served with 3 to 4 reminders at the counter to please serve us. they need to revamp and think again about this branch to be at least customer friendly.;2;09/29/2023 13:39:26
ChdDSUhNMG9nS0VJQ0FnSURoOTh1T2pRRRAB;Hassan Ali;114535407683077555189;https://lh3.googleusercontent.com/a-/ALV-UjWc29E4bHaENkf4mV2NS5Q4R8a8U9azTW87KDnBFqMZc0RrN9A=s120-c-rp-mo-ba6-br100;amazing food amazing place amazing service. i instantly fell in love with kfc f11. menu selection is convenient. the deals are good. the cleanliness is good. the sitting arrangement is comfortable. i like the new theme kfc has adopted. a good place to have nice food and make some good memories. recommended.;5;03/20/2023 14:05:45
ChdDSUhNMG9nS0VJQ0FnSUR4Mm96LTFRRRAB;Traveler;108294393373417327161;https://lh3.googleusercontent.com/a-/ALV-UjXLqdG_Ol7i2wliQVPPvs6d6y5tZmh_z05KcawSiEO7VN2c35kK=s120-c-rp-mo-ba6-br100;too crowded on weekends. limited chairs and space. slow response and sometimes forget about your oder number. food quality was normal. the ambience and interior design was excellent. overall the experience was o k.;3;06/06/2023 12:57:52
ChZDSUhNMG9nS0VJQ0FnSUNadzRud1BnEAE;Arslan Bashir;117998021374250955102;https://lh3.googleusercontent.com/a-/ALV-UjUfNYz1wagmklvV4ttOnL7JC5uk0B-DTDllP9jO-LP__x3MKKJl=s120-c-rp-mo-ba5-br100;overall 710 there is one floor in f11 kfc but the space ks not managed properly. its very hard to get a sitting in kfc f11. the space is spacious but not nicely managed. the food was served very late but the taste was good.;4;09/16/2023 21:45:28
ChZDSUhNMG9nS0VJQ0FnSUNKbGNMV0FnEAE;murtaza anjum;116643039750999975356;https://lh3.googleusercontent.com/a/ACg8ocIKsn2LwK6fNAynPM0oQ2i9j6kcmzrxVSXvji8Lqp5Egsvwqg=s120-c-rp-mo-br100;today order was delivered at our flat pha flats g113. the quality of all items was not only very substadard but wings were rotten with bad smell. such substandard food by a multinational is regrettable and food authority of cda must take cognizance of the issue.;1;07/01/2023 16:43:54
ChZDSUhNMG9nS0VJQ0FnSURoeS1DcU9BEAE;Hamza Khanzada;112362629756191816753;https://lh3.googleusercontent.com/a-/ALV-UjXiosbRrhnYPq5OXD9g3XKixN5C5ft5keANQySfB5T5PAzU0DpL=s120-c-rp-mo-ba2-br100;i got a deal of two person the deal had two zingers two chicken pieces and one large fries with two cold drinks in 1341 rupees at the time of writing this review. although their system was not working and there was a long queue because of unavailability of the system. the place is clean and hygienic and the food is awesome and worth its price. 1010;5;03/17/2023 18:38:19
